system:index,CO_density,City,Date,Ward,.geo
0000000000000000004e_6,0.02436309361175704,Banglore,01-07-2020,Peenya Industrial Area,
0000000000000000004e_7,0.03312222522980833,Banglore,01-10-2020,Peenya Industrial Area,
0000000000000000004f_0,0.03771769347096884,Banglore,01-01-2019,Rajagopal Nagar,
0000000000000000004f_1,0.0444318766364103,Banglore,01-04-2019,Rajagopal Nagar,
0000000000000000004f_2,0.024188348128750637,Banglore,01-07-2019,Rajagopal Nagar,
0000000000000000004f_3,0.03414441112935101,Banglore,01-10-2019,Rajagopal Nagar,
0000000000000000004f_4,0.037042967658709174,Banglore,01-01-2020,Rajagopal Nagar,
0000000000000000004f_5,0.04142582627628442,Banglore,01-04-2020,Rajagopal Nagar,
0000000000000000004f_6,0.024689825449786783,Banglore,01-07-2020,Rajagopal Nagar,
0000000000000000004f_7,0.03321873217243123,Banglore,01-10-2020,Rajagopal Nagar,
00000000000000000050_0,0.03770348818519777,Banglore,01-01-2019,Hegganahalli,
00000000000000000050_1,0.04456973383865563,Banglore,01-04-2019,Hegganahalli,
00000000000000000050_2,0.024302048289371093,Banglore,01-07-2019,Hegganahalli,
